,season,match_id,runs_to_be_scored,balls_remaining,wickets_remaining,match_winner
379,2008,335983,193.0,89.0,10.0,1.0
380,2008,335983,187.0,88.0,10.0,1.0
381,2008,335983,186.0,87.0,10.0,1.0
382,2008,335983,185.0,87.0,10.0,1.0
383,2008,335983,185.0,86.0,10.0,1.0
384,2008,335983,185.0,85.0,9.0,1.0
385,2008,335983,184.0,85.0,9.0,1.0
386,2008,335983,178.0,84.0,9.0,1.0
387,2008,335983,177.0,83.0,9.0,1.0
388,2008,335983,176.0,82.0,9.0,1.0
389,2008,335983,175.0,81.0,9.0,1.0
390,2008,335983,174.0,80.0,9.0,1.0
391,2008,335983,173.0,79.0,9.0,1.0
392,2008,335983,172.0,78.0,9.0,1.0
393,2008,335983,168.0,77.0,9.0,1.0
394,2008,335983,164.0,76.0,9.0,1.0
395,2008,335983,163.0,75.0,9.0,1.0
396,2008,335983,162.0,74.0,9.0,1.0
397,2008,335983,158.0,73.0,9.0,1.0
398,2008,335983,157.0,72.0,9.0,1.0
399,2008,335983,153.0,71.0,9.0,1.0
400,2008,335983,149.0,70.0,9.0,1.0
401,2008,335983,148.0,69.0,9.0,1.0
402,2008,335983,147.0,68.0,9.0,1.0
403,2008,335983,146.0,67.0,9.0,1.0
404,2008,335983,145.0,67.0,9.0,1.0
405,2008,335983,144.0,66.0,9.0,1.0
406,2008,335983,143.0,65.0,9.0,1.0
407,2008,335983,137.0,64.0,9.0,1.0
408,2008,335983,137.0,63.0,9.0,1.0
409,2008,335983,136.0,62.0,9.0,1.0
410,2008,335983,132.0,61.0,9.0,1.0
411,2008,335983,131.0,60.0,9.0,1.0
412,2008,335983,130.0,59.0,9.0,1.0
413,2008,335983,130.0,58.0,8.0,1.0
414,2008,335983,129.0,57.0,8.0,1.0
415,2008,335983,128.0,56.0,8.0,1.0
416,2008,335983,127.0,55.0,8.0,1.0
417,2008,335983,126.0,54.0,8.0,1.0
418,2008,335983,125.0,53.0,8.0,1.0
419,2008,335983,119.0,52.0,8.0,1.0
420,2008,335983,115.0,51.0,8.0,1.0
421,2008,335983,115.0,50.0,8.0,1.0
422,2008,335983,115.0,49.0,8.0,1.0
423,2008,335983,114.0,48.0,8.0,1.0
424,2008,335983,113.0,47.0,8.0,1.0
425,2008,335983,107.0,46.0,8.0,1.0
426,2008,335983,106.0,45.0,8.0,1.0
427,2008,335983,105.0,44.0,8.0,1.0
428,2008,335983,101.0,43.0,8.0,1.0
429,2008,335983,100.0,42.0,8.0,1.0
430,2008,335983,99.0,41.0,8.0,1.0
431,2008,335983,98.0,40.0,8.0,1.0
432,2008,335983,97.0,39.0,8.0,1.0
433,2008,335983,95.0,39.0,8.0,1.0
434,2008,335983,89.0,38.0,8.0,1.0
435,2008,335983,89.0,37.0,8.0,1.0
436,2008,335983,89.0,36.0,8.0,1.0
437,2008,335983,88.0,35.0,8.0,1.0
438,2008,335983,88.0,34.0,7.0,1.0
439,2008,335983,84.0,33.0,7.0,1.0
440,2008,335983,83.0,32.0,7.0,1.0
441,2008,335983,82.0,31.0,7.0,1.0
442,2008,335983,76.0,30.0,7.0,1.0
443,2008,335983,74.0,29.0,7.0,1.0
444,2008,335983,73.0,28.0,7.0,1.0
445,2008,335983,69.0,27.0,7.0,1.0
446,2008,335983,68.0,26.0,7.0,1.0
447,2008,335983,67.0,25.0,7.0,1.0
448,2008,335983,65.0,24.0,7.0,1.0
449,2008,335983,64.0,23.0,7.0,1.0
450,2008,335983,63.0,22.0,7.0,1.0
451,2008,335983,62.0,21.0,7.0,1.0
452,2008,335983,58.0,20.0,7.0,1.0
453,2008,335983,57.0,19.0,7.0,1.0
454,2008,335983,55.0,18.0,7.0,1.0
455,2008,335983,54.0,17.0,7.0,1.0
456,2008,335983,53.0,16.0,7.0,1.0
457,2008,335983,51.0,15.0,7.0,1.0
458,2008,335983,51.0,14.0,6.0,1.0
459,2008,335983,50.0,13.0,6.0,1.0
460,2008,335983,50.0,12.0,6.0,1.0
461,2008,335983,49.0,11.0,6.0,1.0
462,2008,335983,48.0,10.0,6.0,1.0
463,2008,335983,47.0,9.0,6.0,1.0
464,2008,335983,46.0,8.0,6.0,1.0
465,2008,335983,44.0,7.0,6.0,1.0
466,2008,335983,43.0,6.0,6.0,1.0
467,2008,335983,42.0,5.0,6.0,1.0
468,2008,335983,41.0,4.0,6.0,1.0
469,2008,335983,41.0,3.0,6.0,1.0
470,2008,335983,35.0,2.0,6.0,1.0
471,2008,335983,34.0,1.0,6.0,1.0
472,2008,335983,34.0,0.0,6.0,1.0
595,2008,335984,130.0,119.0,10.0,2.0
596,2008,335984,130.0,118.0,10.0,2.0
597,2008,335984,130.0,117.0,10.0,2.0
598,2008,335984,130.0,116.0,10.0,2.0
599,2008,335984,126.0,115.0,10.0,2.0
600,2008,335984,122.0,114.0,10.0,2.0
601,2008,335984,118.0,113.0,10.0,2.0
602,2008,335984,114.0,112.0,10.0,2.0
603,2008,335984,110.0,111.0,10.0,2.0
604,2008,335984,110.0,110.0,9.0,2.0
605,2008,335984,110.0,109.0,9.0,2.0
606,2008,335984,109.0,109.0,9.0,2.0
607,2008,335984,109.0,108.0,9.0,2.0
608,2008,335984,109.0,107.0,9.0,2.0
609,2008,335984,105.0,106.0,9.0,2.0
610,2008,335984,105.0,105.0,9.0,2.0
611,2008,335984,104.0,104.0,9.0,2.0
612,2008,335984,104.0,103.0,9.0,2.0
613,2008,335984,104.0,102.0,9.0,2.0
614,2008,335984,103.0,101.0,9.0,2.0
615,2008,335984,103.0,100.0,9.0,2.0
616,2008,335984,99.0,99.0,9.0,2.0
617,2008,335984,98.0,98.0,9.0,2.0
618,2008,335984,94.0,97.0,9.0,2.0
619,2008,335984,94.0,96.0,9.0,2.0
620,2008,335984,94.0,95.0,9.0,2.0
621,2008,335984,93.0,94.0,9.0,2.0
622,2008,335984,87.0,93.0,9.0,2.0
623,2008,335984,83.0,92.0,9.0,2.0
624,2008,335984,83.0,91.0,9.0,2.0
625,2008,335984,82.0,90.0,9.0,2.0
626,2008,335984,82.0,89.0,9.0,2.0
627,2008,335984,81.0,89.0,9.0,2.0
628,2008,335984,80.0,88.0,9.0,2.0
629,2008,335984,80.0,87.0,9.0,2.0
630,2008,335984,76.0,86.0,9.0,2.0
631,2008,335984,75.0,85.0,9.0,2.0
632,2008,335984,75.0,84.0,9.0,2.0
633,2008,335984,74.0,83.0,9.0,2.0
634,2008,335984,73.0,82.0,9.0,2.0
635,2008,335984,73.0,81.0,9.0,2.0
636,2008,335984,73.0,80.0,9.0,2.0
637,2008,335984,72.0,79.0,9.0,2.0
638,2008,335984,71.0,78.0,9.0,2.0
639,2008,335984,70.0,77.0,9.0,2.0
640,2008,335984,66.0,76.0,9.0,2.0
641,2008,335984,65.0,76.0,9.0,2.0
642,2008,335984,65.0,75.0,9.0,2.0
643,2008,335984,61.0,74.0,9.0,2.0
644,2008,335984,59.0,73.0,9.0,2.0
645,2008,335984,59.0,72.0,9.0,2.0
646,2008,335984,59.0,71.0,9.0,2.0
647,2008,335984,58.0,70.0,9.0,2.0
648,2008,335984,54.0,69.0,9.0,2.0
649,2008,335984,54.0,68.0,9.0,2.0
650,2008,335984,53.0,67.0,9.0,2.0
651,2008,335984,52.0,66.0,9.0,2.0
652,2008,335984,52.0,65.0,9.0,2.0
653,2008,335984,51.0,65.0,9.0,2.0
654,2008,335984,47.0,64.0,9.0,2.0
655,2008,335984,46.0,63.0,9.0,2.0
656,2008,335984,45.0,62.0,9.0,2.0
657,2008,335984,45.0,61.0,9.0,2.0
658,2008,335984,44.0,60.0,9.0,2.0
659,2008,335984,43.0,59.0,9.0,2.0
660,2008,335984,42.0,58.0,9.0,2.0
661,2008,335984,38.0,57.0,9.0,2.0
662,2008,335984,37.0,56.0,9.0,2.0
663,2008,335984,36.0,55.0,9.0,2.0
664,2008,335984,35.0,54.0,9.0,2.0
665,2008,335984,34.0,53.0,9.0,2.0
666,2008,335984,33.0,52.0,9.0,2.0
667,2008,335984,31.0,51.0,9.0,2.0
668,2008,335984,30.0,50.0,9.0,2.0
669,2008,335984,30.0,49.0,9.0,2.0
670,2008,335984,30.0,48.0,9.0,2.0
671,2008,335984,29.0,47.0,9.0,2.0
672,2008,335984,28.0,46.0,9.0,2.0
673,2008,335984,27.0,45.0,9.0,2.0
674,2008,335984,26.0,44.0,9.0,2.0
675,2008,335984,25.0,43.0,9.0,2.0
676,2008,335984,20.0,43.0,9.0,2.0
677,2008,335984,19.0,42.0,9.0,2.0
678,2008,335984,18.0,41.0,9.0,2.0
679,2008,335984,18.0,40.0,9.0,2.0
680,2008,335984,17.0,39.0,9.0,2.0
681,2008,335984,16.0,38.0,9.0,2.0
682,2008,335984,15.0,37.0,9.0,2.0
683,2008,335984,15.0,36.0,9.0,2.0
684,2008,335984,14.0,36.0,9.0,2.0
685,2008,335984,13.0,35.0,9.0,2.0
686,2008,335984,9.0,34.0,9.0,2.0
687,2008,335984,7.0,33.0,9.0,2.0
688,2008,335984,3.0,32.0,9.0,2.0
689,2008,335984,2.0,31.0,9.0,2.0
690,2008,335984,2.0,30.0,9.0,2.0
691,2008,335984,-2.0,29.0,9.0,2.0
810,2008,335986,110.0,119.0,10.0,2.0
811,2008,335986,106.0,118.0,10.0,2.0
812,2008,335986,106.0,117.0,10.0,2.0
813,2008,335986,105.0,116.0,10.0,2.0
814,2008,335986,105.0,115.0,10.0,2.0
815,2008,335986,105.0,114.0,10.0,2.0
816,2008,335986,105.0,113.0,10.0,2.0
817,2008,335986,105.0,112.0,9.0,2.0
818,2008,335986,105.0,111.0,9.0,2.0
819,2008,335986,103.0,110.0,9.0,2.0
820,2008,335986,99.0,109.0,9.0,2.0
